epoch,loss
1,0.25004
2,0.250002
3,0.249964
4,0.249927
5,0.249885
6,0.249851
7,0.249818
8,0.249787
9,0.249744
10,0.249698
11,0.249656
12,0.249602
13,0.249555
14,0.249498
15,0.249431
16,0.249364
17,0.249288
18,0.249203
19,0.249109
20,0.249003
21,0.248886
22,0.248753
23,0.248607
24,0.248438
25,0.248248
26,0.248035
27,0.247792
28,0.247522
29,0.247221
30,0.246889
31,0.246529
32,0.246117
33,0.245696
34,0.245211
35,0.244724
36,0.244217
37,0.243709
38,0.243198
39,0.242718
40,0.242255
41,0.241869
42,0.241408
43,0.241038
44,0.240712
45,0.240474
46,0.240133
47,0.239943
48,0.239645
49,0.239482
50,0.239268
51,0.239135
52,0.238947
53,0.23883
54,0.238723
55,0.23858
56,0.23854
57,0.238337
58,0.238261
59,0.238094
60,0.238022
61,0.237898
62,0.237912
63,0.237695
64,0.237668
65,0.237504
66,0.237474
67,0.23736
68,0.23736
69,0.237132
70,0.237109
71,0.236986
72,0.237002
73,0.236748
74,0.236713
75,0.23652
76,0.23649
77,0.236276
78,0.236425
79,0.236113
80,0.236183
81,0.236034
82,0.2363
83,0.236002
84,0.236166
85,0.235732
86,0.235756
87,0.235511
88,0.235826
89,0.235399
90,0.235498
91,0.235423
92,0.235661
93,0.23527
94,0.235458
95,0.235526
96,0.23634
97,0.236098
98,0.236677
99,0.236844
100,0.237276
101,0.237004
102,0.235334
103,0.235559
104,0.236313
105,0.236722
106,0.23716
107,0.237396
108,0.23771
109,0.237789
110,0.235283
111,0.235563
112,0.236779
113,0.237443
114,0.234882
115,0.235662
116,0.237274
117,0.238867
118,0.237126
119,0.236509
120,0.235752
121,0.236842
122,0.23708
123,0.236482
124,0.233711
125,0.235329
126,0.236114
127,0.237204
128,0.235709
129,0.237405
130,0.236901
131,0.237121
132,0.235115
133,0.236786
134,0.235036
135,0.235329
136,0.232272
137,0.234827
138,0.235847
139,0.23736
140,0.236232
141,0.238006
142,0.231869
143,0.231598
144,0.233009
145,0.237914
146,0.236384
147,0.236995
148,0.23274
149,0.235286
150,0.234651
151,0.236873
152,0.231411
153,0.232535
154,0.233321
155,0.238317
156,0.235311
157,0.235563
158,0.231673
159,0.23684
160,0.230125
161,0.228878
162,0.231298
163,0.241105
164,0.233447
165,0.230468
166,0.226109
167,0.233087
168,0.231142
169,0.231223
170,0.23302
171,0.246364
172,0.232258
173,0.225241
174,0.220698
175,0.230038
176,0.229042
177,0.229651
178,0.233665
179,0.249062
180,0.233963
181,0.22467
182,0.218758
183,0.220488
184,0.223288
185,0.237532
186,0.233059
187,0.237349
188,0.229039
189,0.236706
190,0.224033
191,0.22077
192,0.21693
193,0.235081
194,0.237175
195,0.23859
196,0.223021
197,0.23276
198,0.221552
199,0.221423
200,0.219269
201,0.243997
202,0.228139
203,0.218672
204,0.217898
205,0.233096
206,0.230111
207,0.245979
208,0.220852
209,0.209123
210,0.209028
211,0.21935
212,0.231785
213,0.253478
214,0.223001
215,0.209162
216,0.209969
217,0.231773
218,0.228342
219,0.227302
220,0.226002
221,0.24413
222,0.219533
223,0.211739
224,0.209981
225,0.23282
226,0.226994
227,0.232092
228,0.22119
229,0.230718
230,0.213585
231,0.218823
232,0.224338
233,0.24821
234,0.216629
235,0.199228
236,0.195332
237,0.194913
238,0.195778
239,0.213867
240,0.265401
241,0.2618
242,0.225118
243,0.206897
244,0.203201
245,0.209028
246,0.225786
247,0.262362
248,0.240997
249,0.212994
250,0.202998
251,0.202944
252,0.208012
253,0.224482
254,0.215927
255,0.219891
256,0.224689
257,0.243346
258,0.205512
259,0.205872
260,0.219121
261,0.261584
262,0.23584
263,0.218332
264,0.201224
265,0.197571
266,0.215126
267,0.245991
268,0.217136
269,0.217343
270,0.219958
271,0.214236
272,0.207774
273,0.211121
274,0.210878
275,0.215297
276,0.203321
277,0.208728
278,0.210451
279,0.23891
280,0.201453
281,0.20563
282,0.216185
283,0.221774
284,0.193163
285,0.205919
286,0.206774
287,0.236831
288,0.18876
289,0.190557
290,0.202596
291,0.235227
292,0.184969
293,0.182551
294,0.192195
295,0.236308
296,0.205235
297,0.226561
298,0.239001
299,0.194655
300,0.19107
301,0.208568
302,0.212071
303,0.198315
304,0.193012
305,0.220919
306,0.206178
307,0.206074
308,0.185964
309,0.211649
310,0.204299
311,0.205052
312,0.187274
313,0.254488
314,0.179971
315,0.171069
316,0.189684
317,0.17386
318,0.160045
319,0.158877
320,0.170004
321,0.200678
322,0.226349
323,0.254783
324,0.190885
325,0.167235
326,0.174066
327,0.195641
328,0.242885
329,0.189188
330,0.210966
331,0.19324
332,0.223039
333,0.171242
334,0.187731
335,0.182472
336,0.20348
337,0.166889
338,0.19156
339,0.176504
340,0.245069
341,0.176291
342,0.209222
343,0.223792
344,0.208382
345,0.167195
346,0.194771
347,0.172955
348,0.204758
349,0.158461
350,0.181277
351,0.171853
352,0.238357
353,0.176164
354,0.227003
355,0.173917
356,0.184142
357,0.153327
358,0.173374
359,0.149995
360,0.177676
361,0.17881
362,0.241962
363,0.235405
364,0.244608
365,0.19049
366,0.232515
367,0.187442
368,0.312265
369,0.23165
370,0.20173
371,0.182486
372,0.21592
373,0.223335
374,0.156061
375,0.179601
376,0.17154
377,0.181598
378,0.178556
379,0.216739
380,0.194309
381,0.190665
382,0.166689
383,0.233543
384,0.161995
385,0.173987
386,0.167775
387,0.192927
388,0.160224
389,0.162262
390,0.199172
391,0.200701
392,0.242863
393,0.209732
394,0.20831
395,0.181486
396,0.200074
397,0.184658
398,0.203457
399,0.178661
400,0.193839
401,0.190081
402,0.197705
403,0.186453
404,0.197927
405,0.184032
406,0.19738
407,0.183062
408,0.195577
409,0.182259
410,0.194589
411,0.180344
412,0.188894
413,0.176794
414,0.183384
415,0.17277
416,0.177183
417,0.166386
418,0.178291
419,0.159726
420,0.174808
421,0.158326
422,0.176128
423,0.15713
424,0.172106
425,0.156741
426,0.174489
427,0.15575
428,0.171423
429,0.155392
430,0.172567
431,0.1555
432,0.170392
433,0.154926
434,0.172712
435,0.154936
436,0.170621
437,0.153735
438,0.170204
439,0.154584
440,0.171279
441,0.154994
442,0.170683
443,0.153351
444,0.17001
445,0.152158
446,0.168428
447,0.155613
448,0.170897
449,0.151677
450,0.167043
451,0.154153
452,0.170097
453,0.152778
454,0.170028
455,0.149823
456,0.164929
457,0.158479
458,0.16943
459,0.154186
460,0.169346
461,0.14858
462,0.16201
463,0.162696
464,0.167934
465,0.149468
466,0.16694
467,0.156282
468,0.168505
469,0.150465
470,0.167978
471,0.150696
472,0.170149
473,0.150369
474,0.167653
475,0.151736
476,0.168313
477,0.149182
478,0.167239
479,0.1506
480,0.170878
481,0.147816
482,0.163122
483,0.154663
484,0.170985
485,0.148519
486,0.166109
487,0.146363
488,0.164477
489,0.147956
490,0.168334
491,0.146339
492,0.166457
493,0.14771
494,0.167992
495,0.146455
496,0.166466
497,0.145291
498,0.167227
499,0.146445
500,0.164538
501,0.144771
502,0.168398
503,0.144897
504,0.165251
505,0.141769
506,0.162038
507,0.14274
508,0.166047
509,0.148271
510,0.172285
511,0.143107
512,0.167312
513,0.13998
514,0.149326
515,0.169886
516,0.235818
517,0.190601
518,0.21877
519,0.17755
520,0.169869
521,0.180177
522,0.143022
523,0.1386
524,0.146783
525,0.175564
526,0.15557
527,0.165074
528,0.145662
529,0.149243
530,0.142024
531,0.158123
532,0.148881
533,0.15681
534,0.156618
535,0.25869
536,0.181792
537,0.264717
538,0.261027
539,0.260632
540,0.187217
541,0.150698
542,0.181827
543,0.154842
544,0.137921
545,0.157855
546,0.153418
547,0.166549
548,0.139955
549,0.151712
550,0.163322
551,0.201147
552,0.157986
553,0.14863
554,0.134836
555,0.152056
556,0.13247
557,0.179099
558,0.141745
559,0.136545
560,0.121316
561,0.250628
562,0.131674
563,0.156468
564,0.127767
565,0.107025
566,0.144088
567,0.249258
568,0.138789
569,0.267791
570,0.254797
571,0.118996
572,0.121459
573,0.1802
574,0.156158
575,0.21054
576,0.16445
577,0.163561
578,0.137471
579,0.161723
580,0.141811
581,0.174265
582,0.138651
583,0.175669
584,0.140489
585,0.15628
586,0.132733
587,0.168899
588,0.14509
589,0.15496
590,0.145539
591,0.162358
592,0.129033
593,0.151018
594,0.134466
595,0.180434
596,0.140023
597,0.171846
598,0.121179
599,0.135963
600,0.127314
601,0.144538
602,0.1699
603,0.194724
604,0.172621
605,0.150761
606,0.113873
607,0.143251
608,0.14588
609,0.132559
610,0.166652
611,0.214633
612,0.129988
613,0.189624
614,0.359562
615,0.252311
616,0.277096
617,0.189986
618,0.147223
619,0.137744
620,0.15217
621,0.164857
622,0.113827
623,0.137972
624,0.0926791
625,0.105172
626,0.141909
627,0.107923
628,0.166185
629,0.125532
630,0.157126
631,0.112859
632,0.155637
633,0.12695
634,0.142475
635,0.0998421
636,0.134495
637,0.123706
638,0.115035
639,0.103589
640,0.0966949
641,0.118934
642,0.110212
643,0.171295
644,0.13152
645,0.131272
646,0.19051
647,0.161304
648,0.139706
649,0.10207
650,0.14881
651,0.125673
652,0.126236
653,0.109489
654,0.142246
655,0.118904
656,0.135659
657,0.088014
658,0.107808
659,0.193908
660,0.173736
661,0.13447
662,0.16465
663,0.17182
664,0.177941
665,0.122692
666,0.11679
667,0.140483
668,0.116194
669,0.106
670,0.163133
671,0.124789
672,0.155506
673,0.124101
674,0.14762
675,0.110984
676,0.132787
677,0.10529
678,0.156031
679,0.11154
680,0.115149
681,0.105656
682,0.134355
683,0.089918
684,0.154653
685,0.165384
686,0.160729
687,0.123064
688,0.0947403
689,0.140877
690,0.168257
691,0.140684
692,0.132427
693,0.13504
694,0.107438
695,0.136275
696,0.084654
697,0.112713
698,0.0950423
699,0.123767
700,0.0965104
701,0.136447
702,0.0945379
703,0.148672
704,0.142497
705,0.152556
706,0.331439
707,0.355911
708,0.290735
709,0.236524
710,0.2059
711,0.224594
712,0.271635
713,0.176293
714,0.105801
715,0.124296
716,0.149108
717,0.21086
718,0.245923
719,0.176971
720,0.172158
721,0.104616
722,0.14008
723,0.0845299
724,0.135433
725,0.17701
726,0.155245
727,0.10109
728,0.145776
729,0.149503
730,0.149558
731,0.144859
732,0.238126
733,0.157024
734,0.126036
735,0.170007
736,0.0913157
737,0.0926676
738,0.169299
739,0.0889048
740,0.110142
741,0.0513359
742,0.0690533
743,0.14223
744,0.0630292
745,0.0925237
746,0.0842805
747,0.112762
748,0.174239
749,0.161883
750,0.138223
751,0.146212
752,0.118124
753,0.0939943
754,0.115309
755,0.114417
756,0.0771994
757,0.036205
758,0.075423
759,0.034165
760,0.0703551
761,0.0398172
762,0.058982
763,0.0243685
764,0.0231621
765,0.0228125
766,0.0439241
767,0.0388733
768,0.0498663
769,0.0331308
770,0.0515958
771,0.0205181
772,0.0447908
773,0.0314631
774,0.0503555
775,0.0190345
776,0.039943
777,0.0357424
778,0.0453613
779,0.0318769
780,0.0451917
781,0.0321545
782,0.044733
783,0.0303446
784,0.0464974
785,0.0268567
786,0.0521254
787,0.0323253
788,0.0504827
789,0.0199986
790,0.0546012
791,0.0195997
792,0.0576014
793,0.0221802
794,0.0585737
795,0.0268468
796,0.0538422
797,0.0303408
798,0.0388707
799,0.0256449
800,0.0508983
801,0.0363731
802,0.0376484
803,0.0270931
804,0.0511026
805,0.037642
806,0.0238166
807,0.0575096
808,0.0282145
809,0.0392706
810,0.0188361
811,0.0520169
812,0.030731
813,0.0435485
814,0.0158136
815,0.0387481
816,0.0158483
817,0.0407119
818,0.0154306
819,0.036969
820,0.0291944
821,0.033539
822,0.0401693
823,0.0224152
824,0.0516736
825,0.0317706
826,0.0406248
827,0.022241
828,0.0511435
829,0.0346675
830,0.0372475
831,0.0199749
832,0.0566623
833,0.0219526
